problem_type,order_prime_number,alpha,beta,p,result_x,time_seconds
1,3,526,712,967,713,0.015642166137695312
1,3,94,43,113,61,0.0010151863098144531
1,3,474,355,659,647,0.0
1,3,271,658,811,762,0.0
1,3,42,79,593,590,0.0
1,4,687,211,1499,826,0.0
1,4,1319,1,1861,1860,0.0
1,4,1268,2565,3701,2242,0.0
1,4,6086,975,6947,1109,0.015013456344604492
1,4,2789,1812,4447,2837,0.0
1,5,13945,13335,17881,17647,0.030156612396240234
1,5,1336,23473,75307,51419,0.1156766414642334
1,5,22748,54927,72251,71651,0.10434865951538086
1,5,58175,71295,93941,79087,0.17198944091796875
1,5,25016,41581,57073,55430,0.10211825370788574
1,6,185491,813538,938491,807636,2.045928955078125
1,6,562358,28946,767881,485059,1.745668888092041
1,6,91432,535491,702407,692426,1.4778823852539062
1,6,80984,32035,387839,95741,0.8408730030059814
1,6,34278,408995,870049,866602,1.9644036293029785
1,7,570680,413337,7011001,6887875,18.413022756576538
1,7,1380361,118924,3128869,2356508,7.926950454711914
1,7,6243344,4056684,7071763,7032368,18.632394790649414
1,7,846256,649860,3377051,2337982,8.582353353500366
1,7,6666767,147459,9826753,9302872,25.852929830551147
1,8,67827389,89919187,92520767,timeout,300.0
1,8,23417497,44175021,59607281,8181040,248.1828808784485
1,8,4329801,51032151,52823431,49967552,161.1223533153534
1,8,32957045,16355968,50009233,25206576,237.69620370864868
1,8,89749448,89873572,99198353,timeout,300.0
1,9,47466457,23621865,113988659,94016410,546.4855687618256
1,9,20274217,65055392,104611643,timeout,300.0
1,10,2045882188,2902364135,2994811051,timeout,300.0
1,10,1219806771,1127570141,1639867079,timeout,300.0
2,3,488,9,587,570,0.001013040542602539
2,3,280,258,293,156,0.0
2,3,516,554,809,218,0.0025305747985839844
2,3,544,914,983,37,0.002009153366088867
2,3,128,321,389,248,0.0017485618591308594
2,4,964,165,1439,543,0.001994609832763672
2,4,1016,4150,4507,4381,0.00429844856262207
2,4,883,1006,2459,893,0.00362396240234375
2,4,3981,2840,4987,4718,0.005498647689819336
2,4,1973,4112,7027,6649,0.008513927459716797
2,5,45014,73402,75653,36955,0.17111539840698242
2,5,3265,13483,99317,79163,0.20847105979919434
2,5,7367,1872,10559,5662,0.014081716537475586
2,5,77542,51093,78583,71880,0.17422914505004883
2,5,21790,69827,71483,26926,0.14493012428283691
2,6,656243,681265,802163,87848,2.179856300354004
2,6,447592,557860,832063,823323,1.926743745803833
2,6,409182,660228,853319,508845,2.0274393558502197
2,6,451208,275573,522989,462440,1.1245627403259277
2,6,780911,116167,796487,668413,1.7745327949523926
2,7,4499837,3274226,7787803,7680940,28.481034994125366
2,7,3209311,5213542,7106531,1669825,20.593820571899414
2,7,2008079,1790094,2021671,1265040,5.4744181632995605
2,7,3589,1090816,1856747,469054,4.9626784324646
2,7,1123404,1186784,1761161,1061587,4.39571213722229
2,8,19300672,13408151,75492679,60602537,285.77643632888794
2,8,21571180,61327898,94569647,timeout,300.0
2,8,11620966,54902,26601031,25256780,171.60906291007996
2,8,66375852,21761867,72648127,68208086,340.1618642807007
2,8,24239174,1710516,60778217,31740801,350.2672736644745
2,9,567880009,195379613,610361987,timeout,300.0
2,9,69245850,62279572,362715473,timeout,300.0
2,9,567880009,195379613,610361987,605137400,3199.649842262268
